"Qualifying Name","Name of Area","FIPS","Nation","State","County","Physically Unhealthy Days per Month (Persons 18 Years and Over)","Mentally Unhealthy Days per Month (Persons 18 Years and Over)","Percent of Low Birthweight Births (<2.5kg)","Primary Care Physicians (PCP)","Mental Health Providers (MHP)","Dentists","Primary Care Physicians (PCP) Rate per 100,000 Population","Mental Health Providers (MHP) Rate per 100,000 Population","Dentists Rate per 100,000 Population","Percent of Persons Without Insurance (Population Under 19 Years, 2013 est.)","Percent of Persons Without Insurance (Population Under 65 Years, 2013 est.)","Persons Without Insurance (Population Under 19 Years, 2013 est.)","Persons Without Insurance (Population Under 65 Years, 2013 est.)","Child Mortality (Death Counts)","Premature Age-adjusted Mortality (Death Counts)","Drug Poisoning Mortality (Death Counts)","Child Mortality Rate per 100,000 Population","Premature Age-adjusted Mortality Rate per 100,000 Population","Drug Poisoning Mortality Rate per 100,000 Population","Percent Diabetics (Adults)","Diabetics","Chlamydia Cases (Count)","HIV Prevalence (Count)","Chlamydia Cases Rate per 100,000 Population","HIV Prevalence Rate per 100,000 Population","Air Pollution Particulate Matter Average Daily Pm2.5","Presence of Drinking Water Violations","Percentage of Households with Severe Housing Problems","Percentage of Households with High Housing Costs","Percentage of Households with Overcrowding","Percentage of Households with Lack of Kitchen or Plumbing Facilities","Percent of Driving Alone to Work","Long Commute Driving Alone Workers Who Drive Alone","Percent of Long Commute Driving Alone Workers Who Drive Alone"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_T003_001,SE_T004_001,SE_T004_002,SE_T004_003,SE_NV003_001,SE_NV003_002,SE_NV003_003,SE_T006_001,SE_T006_003,SE_NV005_001,SE_NV005_003,SE_T008_002,SE_T008_003,SE_T008_004,SE_NV006_002,SE_NV006_003,SE_NV006_004,SE_T009_001,SE_NV007_001,SE_T010_002,SE_T010_003,SE_NV008_002,SE_NV008_003,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_004,SE_T016_005,SE_T016_006,SE_T016_007,SE_T016_008,SE_T016_009
"Florida","Florida","12","00","12",,2.9693980909,4.1837089788,8.698099884,15797,42379,13758,72.68565,194.56752,63.16477,6.953579812,18.445701148,301741,2305172,8582,282304,17197,50.745858273,350.94842641,26.657727949,9.5,"",100030,114541,465.7,612.5,7.8,,18.792163189,16.139189476,2.9867598377,0.8114979881,76.082460833,9698180,42.8
"Georgia","Georgia","13","00","13",,3.1575049284,4.521129593,9.8005722815,7185,18113,5737,67.08673,167.7197,53.12251,7.4965959546,18.40583089,189945,1170773,5682,143179,4728,56.682375193,399.92890283,14.846021977,10.6,"",62582,57561,589.4,643.5,9.4,,15.490050016,13.249643583,2.2258433543,0.7987921677,75.985622708,4926936,42.2
"Hawaii","Hawaii","15","00","15",,2.2757380099,3.5631089407,8.3013671683,1305,4096,1263,92.75014,284.13801,87.61384,2.9193465478,5.375815085,9314,45566,559,14779,729,46.396047953,288.66319766,17.179745622,9.4,"",7005,2380,494.7,200.4,3.6,,26.208848017,17.26342711,9.0667682429,1.9274092616,67.217020796,707605,40.7
"Idaho","Idaho","16","00","16",,2.9753333994,4.0536641165,6.8447283358,1172,4516,1241,64.15193,237.5688,65.28408,6.1233394015,13.378270655,28490,140638,837,19254,802,46.759567555,310.98336721,14.939869818,7.9,"",6273,1265,351,83.8,5.15,,13.764067237,10.766640892,2.6745607213,1.1595054047,76.86167859,836154,24.3
"Illinois","Illinois","17","00","17",,2.6744292668,3.2144343145,8.3602955554,10215,36795,10448,81.15174,290.37675,82.45295,2.9138388905,10.407644736,83345,783074,5590,155530,9061,49.249825599,351.87825349,23.844466396,9.3,"",68716,35793,542.3,336.8,8.8,,16.139769115,13.730404566,2.4626841803,0.8946304632,69.962680878,6164668,41.3
"Indiana","Indiana","18","00","18",,3.2590265159,4.9370020373,8.1164675211,4502,12873,4000,66.64739,189.14235,58.7718,6.0953086908,10.151466953,97360,399539,3652,97951,5649,58.190374942,419.97037608,27.99438031,10.5,"",33372,11873,495.7,210.5,8.8,,12.307716249,10.395588171,1.6485632698,0.8936282786,80.044438786,3189106,32
"Iowa","Iowa","19","00","19",,2.7863532284,4.394763626,6.7719896887,2331,6001,2231,73.68279,187.93772,69.86987,2.5678426143,7.0306098705,19101,127507,1337,38226,1071,45.864415594,339.50712963,11.303697312,8.9,"",15097,2940,478.5,111.1,7.4,,11.696793694,9.5974046185,1.6705189751,1.0521740848,78.987388817,1592872,21.1
"Kansas","Kansas","20","00","20",,2.8437352248,4.4409409724,7.1898732221,2312,6576,1828,79.34642,224.08643,62.29167,5.1696367686,12.520047381,37071,210230,1504,37334,1238,53.418670607,373.21202401,14.166990135,9.9,"",14620,3354,501.8,138.8,6.7,,12.540459164,10.099000139,2.0850583365,1.0989838163,79.346014716,1441378,21.7
"Kentucky","Kentucky","21","00","21",,4.2509169315,5.4756580956,8.7819232294,2887,12349,2983,64.48153,273.85054,66.1508,4.2647118025,7.9650883891,43434,207717,2201,78388,4778,54.694698714,491.39702683,35.621291841,11.4,"",18750,7911,419.7,210.3,8.2,,13.154466108,10.906336266,1.9681544085,0.9918598886,80.14139588,1976861,30.3
"Louisiana","Louisiana","22","00","22",,4.0164164775,5.6990956072,10.693909704,3255,15019,2692,70.07055,324.80206,58.2174,4.1616374813,11.822513267,45271,316121,3001,77733,4303,68.622063926,485.42197125,30.836837085,12.7,"",32997,21380,709.8,553,8.6,,15.547903271,13.343365792,2.300092843,0.8238023104,81.092601129,1991358,34
